"Name","PITCHER_THROWS","pitch_type","velo","brk_x","brk_z","spin_rate","extension"
"Jake Taylor","R","FB",91.63,-12.738,7.966,2058.798,7.1829
"Hank Murphy","R","BRK",82.324,-0.334,-1.267,2285.779,6.7315
"Lou Collins","L","CH",75.844,-10.382,1.969,2296.866,5.744
"Pedro Cerrano","R","BRK",75.953,0.352,-3.609,2273.341,5.7947
"Rudy Bonilla","R","BRK",82.959,2.88,-1.306,1927.687,6.1578
"Roger Dorn","L","FB",89.722,-8.413,9.375,2263.67,6.5623
"Terrence Mann","R","FB",90.38,7.338,11.018,1845.388,6.6257
"Charlie Donovan","R","BRK",85.686,-1.87,5.022,2203.038,6.0812
"Jack Bradfield","R","FB",98.663,11.977,9.21,2248.136,6.0535
"Terrence Mann","R","BRK",79.336,-8.344,0.534,2015.535,6.3
"Larry Fisher","R","FB",90.203,-1.214,3.548,1797.572,6.8027
"Davis Birch","R","FB",85.049,-1.52,8.916,2496.347,5.6344
"Pedro Cerrano","R","BRK",74.17,0.681,0.475,2084.598,5.6895
"Jake Taylor","R","FB",90.566,8.395,4.929,2114.15,7.0624
"Mel Clark","R","BRK",78.114,2.14,2.541,2104.438,5.6618
"Terrence Mann","R","FB",90.471,-7.479,3.759,2139.524,6.8962
"Hank Murphy","R","FB",93.327,5.62,7.471,2396.902,6.4545
"Rudy Bonilla","R","BRK",79.423,-5.347,1.447,2008.914,5.8464
"Lou Brown","L","FB",88.169,8.988,7.303,2051.829,5.8044
"Mickey Scales","R","BRK",81.851,-3.663,1.181,2386.588,6.0671
"Charlie Donovan","R","BRK",84.481,-2.106,1.414,2192.252,5.2402
"Lou Collins","L","FB",90.103,3.381,14.538,2096.495,5.8538
"George Knox","L","CH",89.466,9.572,4.166,2029.307,6.9985
"Lou Brown","L","FB",89.515,9.805,6.893,2151.768,5.8343
"Billy Chapel","L","FB",87.575,21.139,15.763,2199.085,5.3591
"Charlie Donovan","R","FB",90.557,-6.764,5.229,2209.269,6.1963
"Lonnie Ritter","R","FB",94.361,3.38,8.857,2167.344,6.26
"Ben Williams","L","FB",94.293,5.453,10.88,2228.461,5.981
"Ben Williams","L","FB",93.997,3.388,9.409,2267.548,5.9009
"Hank Murphy","R","BRK",86.767,2.764,2.957,2674.885,5.8321
"Roger Bomman","R","BRK",77.371,8.356,-6.542,2405.953,5.9873
"Lonnie Ritter","R","CH",80.005,5.96,3.771,1392.453,6.4906
"Hank Murphy","R","FB",96.032,-0.86,7.934,2672.03,7.0821
"Larry Fisher","R","CH",84.306,6.42,5.461,1747.116,6.2614
"Bo Gentry","L","FB",90.815,6.14,4.938,1816.126,5.3981
"Mel Clark","R","FB",94.834,5.941,9.408,2527.9,6.1809
"Roger Bomman","R","FB",93.029,7.529,6.701,2542.675,6.4173
"Ken Strout","R","BRK",78.061,7.597,-3.6,2540.375,5.0674
"Terrence Mann","R","FB",92.858,7.828,5.347,2151.002,6.9359
"Hank Murphy","R","BRK",85.665,-1.852,1.775,2505.281,6.4965
"George Knox","L","FB",92.99,-3.837,7.983,2570.255,7.1683
"Jack Bradfield","R","FB",94.194,-4.268,9.344,1973.321,6.0805
"Larry Fisher","R","BRK",76.833,3.515,-0.751,1914.392,6.2741
"Gus Sinski","L","BRK",79.241,1.265,-0.825,2336.766,5.1305
"Davis Birch","R","FB",85.69,-4.545,5.109,2578.43,5.7654
"Terrence Mann","R","BRK",79.424,-6.253,3.248,1994.076,5.9438
"Billy Chapel","L","BRK",79.29,4.623,-1.398,2329.708,5.3467
"Jim Bowers","L","FB",94.288,-4.602,12.951,2344.09,6.9101
"George Knox","L","FB",95.015,-4.982,6.673,2533.363,6.4486
"Ken Strout","R","FB",89.602,-3.859,10.096,2507.991,6.4033
"George Knox","L","FB",94.226,-9.788,9.095,2523.809,7.8156
"George Knox","L","CH",88.562,8.37,2.779,1910.415,6.1116
"Billy Chapel","L","BRK",75.407,5.043,-3.693,2513.425,5.1626
"Ken Strout","R","FB",95.163,3.713,10.207,2562.973,6.1336
"Mel Clark","R","FB",93.92,8.539,7.847,2575.187,6.4061
"Terrence Mann","R","FB",92.301,2.706,9.521,2176.683,6.9357
"Charlie Donovan","R","FB",91.85,6.004,7.801,2409.547,5.6365
"Gus Sinski","L","FB",88.958,8.583,8.157,2074.812,5.7396
"Roger Dorn","L","BRK",76.975,-1.877,-4.73,2699.217,6.0453
"Ken Strout","R","FB",93.865,-4.754,9.756,2642.094,6.3861
"Lou Brown","L","FB",89.175,9.36,6.503,2037.45,5.7533
"Jack Bradfield","R","BRK",88.477,-6.393,6.278,2020.486,5.775
"Larry Fisher","R","FB",90.857,-4.704,6.759,2334.206,6.3473
"Lonnie Ritter","R","FB",93.032,8.943,5.211,2009.124,5.5705
"Mickey Scales","R","FB",93.596,-1.716,11.516,2393.785,6.2488
"Charlie Donovan","R","BRK",84.486,-1.14,-2.434,2589.106,5.2309
"Ben Williams","L","BRK",82.133,-3.478,-1.458,2397.87,5.1933
"Mel Clark","R","CH",83.749,-9.029,5.981,1513.942,6.5462
"Jim Bowers","L","FB",93.798,1.603,12.355,2132.863,7.0627
"Roger Dorn","L","FB",88.283,8.733,10.238,2323.137,6.2278
"Lonnie Ritter","R","FB",92.486,-3.22,6.726,2348.824,6.0287
"Charlie Donovan","R","FB",91.074,9.718,6.133,1963.301,5.9682
"Jimmy Pena","R","FB",89.148,5.786,10.096,2172.013,6.3285
"Lonnie Ritter","R","FB",93.366,-8.143,5.423,2146.619,5.6862
"Ken Strout","R","FB",91.076,-3.648,9.164,2502.295,6.4831
"Mickey Scales","R","FB",93.702,0.6,8.105,2296.125,6.3544
"Billy Chapel","L","FB",88.269,23.646,14.282,2087.243,5.2215
"Jack Bradfield","R","FB",93.096,-7.612,8.549,2074.902,6.2226
"Rudy Bonilla","R","FB",89.106,7.325,4.978,2067.549,6.5436
"Jake Taylor","R","FB",92.461,-7.894,8.718,2119.651,7.1702
"Rudy Bonilla","R","FB",91.51,-5.894,7.381,2251.986,6.297
"Pedro Cerrano","R","FB",86.255,-3.056,7.902,2161.846,6.2329
"Lou Brown","L","FB",86.945,-8.365,7.342,1948.494,5.8524
"Charlie Donovan","R","BRK",85.303,-1.628,-0.876,2526.364,5.3349
"Billy Heywood","L","FB",86.483,5.417,11.226,2218.778,5.8802
"Ken Strout","R","FB",92.688,15.615,4.207,2552.192,5.8565
"Ben Williams","L","CH",85.601,11.472,5.465,1774.31,6.3114
"Jack Bradfield","R","FB",92.817,6.93,8.263,2099.521,6.0255
"Lonnie Ritter","R","FB",93.241,-10.288,6.614,2134.616,5.401
"Charlie Donovan","R","FB",93.709,-3.423,10.76,1780.009,5.8262
"Terrence Mann","R","FB",89.962,7.563,7.446,2163.236,6.9126
"Lou Collins","L","BRK",76.961,8.745,-7.167,2661.03,5.3761
"George Knox","L","FB",92.973,-3.876,9.163,2614.702,7.3322
"Mel Clark","R","FB",92.371,-4.488,11.049,2378.849,6.0803
"Lou Brown","L","FB",89.05,9.382,6.988,2174.644,6.1059
"Jake Taylor","R","BRK",79.514,-7.379,-2.954,2311.808,6.5582
"Lou Collins","L","CH",74.786,7.079,-1.062,2326.679,6.0269
"Roger Bomman","R","FB",91.912,8.214,5.664,2171.459,6.4052
"Lou Collins","L","BRK",76.972,-11.052,-7.055,2700.763,5.4281
"Roger Dorn","L","FB",88.939,9.077,10.27,2323.605,6.5146
"Gus Sinski","L","FB",85.827,6.188,4.466,2000.923,5.8737
"Lou Brown","L","BRK",74.934,-3.22,4.004,1796.949,5.8544
"Jack Bradfield","R","FB",98.682,5.755,8.783,2157.909,6.2461
"Roger Dorn","L","FB",86.696,10.608,7.193,2288.802,6.4696
"Billy Chapel","L","BRK",80.092,-5.652,-1.768,2771.875,5.4279
"Jack Bradfield","R","CH",86.154,5.631,2.923,2080.116,5.3663
"Rudy Bonilla","R","BRK",82.026,0.753,3.478,2406.083,5.1979
"Charlie Donovan","R","BRK",83.844,-2.221,-2.305,2265.929,5.4679
